1968-07-16T00:00:00	Ariel	Richard Kane	David Jones	Chichester Festival	Chichester Festival Theatre
2007-05-23T00:00:00	Ariel	Steven Robertson	Greg Hersov	Royal Exchange Theatre	Royal Exchange Theatre
2014-08-08T00:00:00	Ariel	Chasten Harmon	Jade King Carroll	Chautauqua Theatre Company	Bratton Theatre Mainstage
2015-09-08T00:00:00	Ariel	Nate Dendy	Aaron Posner & Teller	Chicago Shakespeare Theater	The Yard
2016-09-23T00:00:00	Ariel	Jade Anouka	Phyllida Lloyd	Donmar Warehouse	Donmar King's Cross
2018-05-28T00:00:00	Ariel	Andre Morin	Antoni Cimolino	Stratford Festival	Festival Theatre
2012-05-30T00:00:00	Ariel	Erika Chong Shuch	Jonathan Moscone	California Shakespeare Theater	Bruns Amphitheater
2007-03-01T00:00:00	Ariel	Simone Saunders	Barrie Rutter	Northern Broadsides	New Vic Theatre
2007-03-01T00:00:00	Ariel	Nicola Gardner	Barrie Rutter	Northern Broadsides	New Vic Theatre
2007-03-01T00:00:00	Ariel	Belinda Everett	Barrie Rutter	Northern Broadsides	New Vic Theatre
1999-01-28T00:00:00	Ariel	Paul Bhattacharjee	Jude Kelly	West Yorkshire Playhouse	West Yorkshire Playhouse, Leeds
2013-01-01T00:00:00	Ariel	Colin Morgan	Jeremy Herrin	Shakespeare's Globe	Shakespeare's Globe
2016-01-01T00:00:00	Ariel	Pippa Nixon	Dominic Dromgoole	Shakespeare's Globe	Shakespeare's Globe
2000-01-01T00:00:00	Ariel	Geraldine Alexander	Lenka Udovicki	Shakespeare's Globe	Shakespeare's Globe
1970-10-15T00:00:00	Ariel	Ben Kingsley	John Barton	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1988-07-27T00:00:00	Ariel	Duncan Bell	Nicholas Hytner	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1911-07-31T00:00:00	Ariel	Emil Leslie	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1897-04-19T00:00:00	Ariel	Margaret Ormerod	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1916-08-02T00:00:00	Ariel	Doris Keys	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1946-04-20T00:00:00	Ariel	David O'Brien	Eric Crozier	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2002-05-07T00:00:00	Ariel	Kananu Kirimi	Michael Boyd	Royal Shakespeare Company	The Roundhouse, London
1941-04-25T00:00:00	Ariel	Pamela Alan	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1891-04-23T00:00:00	Ariel	Miss Johnstone	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1993-08-11T00:00:00	Ariel	Simon Russell Beale	Sam Mendes	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1999-01-05T00:00:00	Ariel	Scott Handy	Adrian Noble	Royal Shakespeare Company	Barbican Theatre, London
1919-08-08T00:00:00	Ariel	Leah Hanman	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1904-05-06T00:00:00	Ariel	Ethel Dane	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1983-09-13T00:00:00	Ariel	Mark Rylance	Ron Daniels	Royal Shakespeare Company	Barbican Theatre, London
2011-03-15T00:00:00	Ariel	Jonathan Storey	Peter Glanville	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
1978-05-02T00:00:00	Ariel	Ian Charleson	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2012-04-25T00:00:00	Ariel	Sandy Grierson	David Farr	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1974-10-22T00:00:00	Ariel	Robert Lloyd	Keith Hack	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1934-04-16T00:00:00	Ariel	 Rachel Kempson	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1930-07-16T00:00:00	Ariel	Miriam Adams	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1957-12-05T00:00:00	Ariel	Brian Bedford	Peter Brook	Royal Shakespeare Company	Theatre Royal, Drury Lane, London
1992-12-03T00:00:00	Ariel	Yoji Matsuda	Yukio Ninagawa	Royal Shakespeare Company	Barbican Theatre, London
1995-06-29T00:00:00	Ariel	Bonnie Engstrom	David Thacker	Royal Shakespeare Company	Young Vic, London
2009-02-18T00:00:00	Ariel	Atandwa Kani	Janice Honeyman	Royal Shakespeare Company	Courtyard Theatre, Stratford-upon-Avon
1926-07-08T00:00:00	Ariel	Joan Duan	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2016-11-17T00:00:00	Ariel	Mark Quartley	director unknown	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2000-11-24T00:00:00	Ariel	Gilz Terera	James Macdonald	Royal Shakespeare Company	Tour
1938-05-02T00:00:00	Ariel	Dennis Hutchinson	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1963-04-02T00:00:00	Ariel	Ian Holm	Clifford Williams	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1935-04-26T00:00:00	Ariel	Margaret Field-Hyde	Randle Ayrton	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1908-05-09T00:00:00	Ariel	Leah Hanman	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1951-06-26T00:00:00	Ariel	Alan Badel	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1942-04-17T00:00:00	Ariel	Sara Jackson	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2006-08-08T00:00:00	Ariel	Julian Bleach	Rupert Goold	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1947-05-09T00:00:00	Ariel	Joy Parker	Norman Wright	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1952-03-25T00:00:00	Ariel	Margaret Leighton	Michael Benthall	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1992-01-01T00:00:00	Ariel	Paul Brennen	Andrew Hay	unknown production company	Bristol Old Vic
2003-01-01T00:00:00	Ariel	Daniel Evans	Michael Grandage	Sheffield Crucible Theatre Company/Old Vic	The Old Vic
2000-01-01T00:00:00	Ariel	Aiden Gillen	Jonathan Kent	unknown production company	Almeida Theatre, London, Islington
1992-08-07T00:00:00	Ariel	Jacqueline Haigh	director unknown	Shakespeare Inc.	Conway Hall, Red Lion Square, London WC1
1930-10-06T00:00:00	Ariel	Leslie French	Harcourt Williams	unknown production company	Old Vic, London
1930-07-16T00:00:00	Ariel	Miriam Adams	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1996-11-09T00:00:00	Ariel	Rachel Sanders	Nancy Meckler	Shared Experience	Wolsey Theatre, Ipswich
1926-07-08T00:00:00	Ariel	Joan Duan	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1998-01-01T00:00:00	Ariel	Amanda Lawrence	director unknown	Compass Theatre Company	UK Tour
1995-01-01T00:00:00	Ariel	Victoria Pritchard	Silviu Purcarete	Nottingham Playhouse and Theatr Clwyd	Clwyd Theatr Cymru, Mold
1925-10-31T00:00:00	Ariel	Godfrey Kenton	Beatrice Wilson	unknown production company	Century Theatre
1996-01-01T00:00:00	Ariel	Ellen O’Grady	Patrick Garland	unknown production company	Open Air Theatre, Regent’s Park
1995-05-30T00:00:00	Ariel	Gillian Jones	Neil Armfield	Company B	Belvoir Street Theatre, Sydney, Australia
1948-10-26T00:00:00	Ariel	Mary Morris	Robert Atkins	unknown production company	Theatre Royal, Drury Lane, London
1988-11-26T00:00:00	Ariel	Cyril I Nri	Jonathan Miller	unknown production company	Old Vic, London
1974-01-01T00:00:00	Ariel	Michael Feast	Peter Hall	unknown production company	Old Vic, London
1946-04-20T00:00:00	Ariel	David O’Brien	Eric Crozier	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1985-01-01T00:00:00	Ariel	Moir Leslie	Nigel Jamieson	unknown production company	Theatre Royal, Bath
2013-08-24T00:00:00	Ariel	Jessica Pearce	Matthew Windham	Utah Children’s Theatre	Utah Children’s Theatre, South Salt Lake, UT, USA
2012-01-01T00:00:00	Ariel	Adam Blampied	director unknown	Grassroots Shakespeare London	Lion & Unicorn, Kentish Town
1940-01-01T00:00:00	Ariel	Marius Goring	George Devine	unknown production company	Old Vic, London
2012-01-01T00:00:00	Ariel	Maya Thomas	director unknown	Brown Kettle Theatre Company	The White Bear Theatre
2010-05-15T00:00:00	Ariel	Kate Sawyer	Mark Leipacher	The Faction	Brockley Jack Theatre
1959-01-01T00:00:00	Ariel	Jeanette Sterke	Douglas Seale	unknown production company	Old Vic, London
1934-04-16T00:00:00	Ariel	Rachel Kempson	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1919-08-08T00:00:00	Ariel	Leah Hanman	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2005-05-30T00:00:00	Ariel	JACOB JAMES BCC	RICHARD MONETTE	Stratford Festival	Festival Theatre (Canada)
2010-06-25T00:00:00	Ariel	Julyana Soelistyo	Des McAnuff	Stratford Festival	Festival Theatre (Canada)
1999-05-31T00:00:00	Ariel	Michael Therriault	Richard Monette	Stratford Festival	Festival Theatre (Canada)
1992-06-01T00:00:00	Ariel	Ted Dykstra	David William	Stratford Festival	Festival Theatre (Canada)
1976-03-04T00:00:00	Ariel	Nicholas Pennell	William Hutt	Stratford Festival	Touring
1982-06-09T00:00:00	Ariel	Ian Deakin	John Hirsch	Stratford Festival	Festival Theatre (Canada)
1962-06-20T00:00:00	Ariel	Bruno Gerussi	George McCowan	Stratford Festival	Festival Theatre (Canada)
2005-03-22T00:00:00	Ariel	Daniel Breaker	Kate Whoriskey	Shakespeare Theatre Company	Lansburgh Theatre
1997-09-02T00:00:00	Ariel	Wallace Acton	Garland Wright	Shakespeare Theatre Company	Lansburgh Theatre
2008-09-18T00:00:00	Ariel	Angel Desai	Brian Kulick	Classic Stage Company	East 13th Street/CSC Theatre
2015-06-16T00:00:00	Ariel	Chris Perfetti	Michael Greif	The Public Theater	Delacorte Theater
1991-08-27T00:00:00	Ariel	Erich Wildpret	Carlos Gimenez	The Public Theater	Delacorte Theater
1995-06-22T00:00:00	Ariel	Aunjanue Ellis	George C. Wolfe	The Public Theater	Delacorte Theater
1974-01-26T00:00:00	Ariel	Christopher Allport	Edward Berkeley	New York Shakespeare Festival Lincoln Center	Mitzi E. Newhouse Theater
